# cluster RA DEC
A85    00:41:50.5 -09:18:11.5
A119   00:56:16.1 -01:15:19.1
A133   01:02:41.7 -21:52:55.5
A147   01:08:12.0 +02:11:38.2
A151   01:08:51.1 -15:24:23.1
A160   01:12:59.6 +15:29:28.9
A168   01:14:57.6 +00:25:51.2
A193   01:25:07.6 +08:41:57.2
A311   02:09:28.4 +19:46:36.2
A376   02:46:03.9 +36:54:19.2
A500   04:38:52.5 -22:06:39.0
A548b  05:45:29.6 -25:55:56.8
A602   07:53:26.6 +29:21:34.5
A671   08:28:31.7 +30:25:53.1
A754   09:08:32.4 -09:37:47.4
A780   09:18:05.7 -12:05:43.4
A957   10:13:38.3 -00:55:31.3
A970   10:17:25.7 -10:41:20.2
A1069  10:39:43.4 -08:41:12.4
A1291  11:32:23.2 +55:58:03.0
A1631a 12:52:52.6 -15:24:47.8
A1644  12:57:11.6 -17:24:34.0
A1668  13:03:46.6 +19:16:17.4
A1736  13:27:28.0 -27:19:29.2
A1795  13:48:52.5 +26:35:34.6
A1831  13:59:15.1 +27:58:34.5
A1983  14:52:55.3 +16:42:10.6
A1991  14:54:31.5 +18:38:32.9
A2107  15:39:39.0 +21:46:58.0
A2124  15:44:59.0 +36:06:33.9
A2149  16:01:28.1 +53:56:50.4
A2169  16:13:58.1 +49:11:22.4
A2256  17:04:27.2 +78:38:25.4
A2271  17:18:16.7 +78:01:06.2
A2382  21:51:55.6 -15:42:21.3
A2399  21:57:01.7 -07:50:22.0
A2415  22:05:38.6 -05:35:32.1
A2457  22:35:40.8 +01:29:05.9
A2572a 23:17:12.0 +18:42:04.7
A2589  23:23:57.5 +16:46:38.3
A2593  23:24:20.1 +14:38:49.8
A2622  23:35:01.5 +27:22:21.0
A2626  23:36:30.5 +21:08:47.4
A2657  23:44:57.4 +09:11:35.3
A2665  23:50:50.6 +06:08:58.9
A2717  00:03:13.0 -35:56:13.3
A2734  00:11:21.6 -28:51:15.6
A3128  03:29:50.6 -52:34:46.8
A3158  03:42:53.0 -53:37:52.6
A3164  03:45:25.8 -56:59:02.0
A3266  04:31:13.3 -61:27:12.0
A3376  06:00:41.1 -40:02:40.4
A3395  06:27:36.3 -54:26:57.9
A3490  11:45:20.2 -34:25:59.4
A3497  11:59:46.3 -31:31:41.6
A3528a 12:54:41.0 -29:13:39.5
A3528b 12:54:22.2 -29:00:46.8
A3530  12:55:36.0 -30:20:51.4
A3532  12:57:22.0 -30:21:49.1
A3556  13:24:06.7 -31:40:11.6
A3558  13:27:56.8 -31:29:44.0
A3560  13:31:53.5 -33:14:03.1
A3562  13:33:34.7 -31:40:20.5
A3667  20:12:27.3 -56:49:36.4
A3716  20:51:19.9 -52:38:10.5
A3809  21:46:59.1 -43:53:56.2
A3880  22:27:54.4 -30:34:31.9
A4059  23:57:00.7 -34:45:32.9
IIZ108 21:13:55.9 +02:33:55.4
MKW3s  15:21:51.9 +07:42:32.1
RX0058 00:58:22.6 +26:51:59.0
RX1022 10:22:10.0 +38:31:23.9
RX1740 17:40:32.1 +35:38:46.1
Z1261  07:16:41.2 +53:23:09.5
Z2844  10:02:36.5 +32:42:24.3
Z8338  18:11:05.2 +49:54:33.7
Z8852  23:10:22.4 +07:34:50.6
